"CID","CanonicalSMILES","IUPACName","Title","MolecularFormula","MolecularWeight","XLogP","HBondDonorCount","HBondAcceptorCount"
268,"CC(C(=O)NC(CCC(=O)O)C(=O)NC(CCCCN)C(=O)NC(C)C(=O)NC(C)C(=O)O)NC(=O)C(C)OC1C(C(OC(C1O)CO)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C","4-[2-[2-[3-acetamido-2-[[[5-(2,4-dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-5-hydroxy-6-(hydroxymethyl)oxan-4-yl]oxypropanoylamino]propanoylamino]-5-[[6-amino-1-[[1-(1-carboxyethylamino)-1-oxopropan-2-yl]amino]-1-oxohexan-2-yl]amino]-5-oxopentanoic acid","4-[2-[2-[3-Acetamido-2-[[[5-(2,4-dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-5-hydroxy-6-(hydroxymethyl)oxan-4-yl]oxypropanoylamino]propanoylamino]-5-[[6-amino-1-[[1-[(1-hydroxy-1-oxopropan-2-yl)amino]-1-oxopropan-2-yl]amino]-1-oxohexan-2-yl]amino]-5-oxopentanoic acid","C40H65N9O26P2",1149.9,-10.4,16,27
269,"CC(C(=O)NC(CCC(=O)NC(CCCC(C(=O)O)N)C(=O)NC(C)C(=O)NC(C)C(=O)O)C(=O)O)NC(=O)C(C)OC1C(C(OC(C1O)CO)OP(=O)(O)OP(=O)(O)OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)NC(=O)C","6-[[4-[2-[2-[3-acetamido-5-hydroxy-2-[hydroxy-[hydroxy(3,7,11,15,19,23,27,31,35,39,43-undecamethyltetratetraconta-2,6,10,14,18,22,26,30,34,38,42-undecaenoxy)phosphoryl]oxyphosphoryl]oxy-6-(hydroxymethyl)oxan-4-yl]oxypropanoylamino]propanoylamino]-4-carboxybutanoyl]amino]-2-amino-7-[[1-(1-carboxyethylamino)-1-oxopropan-2-yl]amino]-7-oxoheptanoic acid","6-[[4-[2-[2-[3-Acetamido-5-hydroxy-2-[hydroxy-[hydroxy(3,7,11,15,19,23,27,31,35,39,43-undecamethyltetratetraconta-2,6,10,14,18,22,26,30,34,38,42-undecaenoxy)phosphoryl]oxyphosphoryl]oxy-6-(hydroxymethyl)oxan-4-yl]oxypropanoylamino]propanoylamino]-4-carboxybutanoyl]amino]-2-amino-7-[[1-(1-carboxyethylamino)-1-oxopropan-2-yl]amino]-7-oxoheptanoic acid","C87H143N7O23P2",1717.0,11.7,14,24
270,"CC(C(=O)NC(CCC(=O)NC(CCCC(C(=O)O)N)C(=O)NC(C)C(=O)NC(C)C(=O)O)C(=O)O)NC(=O)C(C)OC1C(C(OC(C1OC2C(C(C(C(O2)CO)O)O)NC(=O)C)CO)OP(=O)(O)OP(=O)(O)OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)NC(=O)C","6-[[4-[2-[2-[3-acetamido-5-[3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2-[hydroxy-[hydroxy(3,7,11,15,19,23,27,31,35,39,43-undecamethyltetratetraconta-2,6,10,14,18,22,26,30,34,38,42-undecaenoxy)phosphoryl]oxyphosphoryl]oxy-6-(hydroxymethyl)oxan-4-yl]oxypropanoylamino]propanoylamino]-4-carboxybutanoyl]amino]-2-amino-7-[[1-(1-carboxyethylamino)-1-oxopropan-2-yl]amino]-7-oxoheptanoic acid","6-[[4-[2-[2-[3-Acetamido-5-[3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2-[hydroxy-[hydroxy(3,7,11,15,19,23,27,31,35,39,43-undecamethyltetratetraconta-2,6,10,14,18,22,26,30,34,38,42-undecaenoxy)phosphoryl]oxyphosphoryl]oxy-6-(hydroxymethyl)oxan-4-yl]oxypropanoylamino]propanoylamino]-4-carboxybutanoyl]amino]-2-amino-7-[[1-(1-carboxyethylamino)-1-oxopropan-2-yl]amino]-7-oxoheptanoic acid","C95H156N8O28P2",1920.2,9.5,17,29
271,"[Ca+2]","calcium(2+)","Calcium ion","Ca+2",40.08,"",0,0
272,"[CaH2]","calcium dihydride","","CaH2",42.09,"",0,0
273,"C(CCN)CCN","pentane-1,5-diamine","Cadaverine","C5H14N2",102.18,-0.6,2,2
274,"C1C2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O1)O","6-(6-aminopurin-9-yl)-2-hydroxy-2-oxo-4a,6,7,7a-tetrahydro-4H-furo[3,2-d][1,3,2]dioxaphosphinin-7-ol","Acrasin","C10H12N5O6P",329.21,-2.6,3,10
275,"C(CON=C(N)N)C(C(=O)O)N","2-amino-4-(diaminomethylideneamino)oxybutanoic acid","DL-Canavanine","C5H12N4O3",176.17,-4.800,4,5
276,"C(=O)(N)[O-]","carbamate","Carbamate","CH2NO2-",60.032,-0.1,1,2
277,"C(=O)(N)O","carbamic acid","Carbamic acid","CH3NO2",61.040,-0.8,2,2
278,"C(=O)(N)OP(=O)(O)O","phosphono carbamate","Carbamoyl phosphate","CH4NO5P",141.02,-2.1,3,5
279,"C(C(C(=O)O)NC(=O)N)C(=O)O","2-(carbamoylamino)butanedioic acid","Ureidosuccinic acid","C5H8N2O5",176.13,-1.9,4,5
280,"C(=O)=O","","Carbon dioxide","CO2",44.009,0.9,0,2
281,"[C-]#[O+]","carbon monoxide","Carbon monoxide","CO",28.010,0.7,0,1
282,"C1=CC(C(C(=C1)CCC(=O)O)O)O","3-(5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoic acid","3-(5,6-Dihydroxycyclohexa-1,3-dien-1-yl)propanoic acid","C9H12O4",184.19,-0.700,3,4
283,"C(=O)[O-]","formate","Formate","CHO2-",45.017,0.5,0,2
284,"C(=O)O","formic acid","Formic acid","CH2O2",46.025,-0.2,1,2
285,"C(C(=O)[O-])ON","2-aminooxyacetate","(Aminooxy)acetate","C2H4NO3-",90.06,-2.7,1,4
286,"C(C(=O)O)ON","2-aminooxyacetic acid","Aminooxyacetic acid","C2H5NO3",91.07,-3.4,2,4
287,"C1=CC=C(C(=C1)C(=O)O)NCC(=O)C(C(COP(=O)(O)O)O)O","2-[(3,4-dihydroxy-2-oxo-5-phosphonooxypentyl)amino]benzoic acid","2-[(3,4-Dihydroxy-2-oxo-5-phosphonooxypentyl)amino]benzoic acid","C12H16NO9P",349.23,-1.3,6,10
288,"C[N+](C)(C)CC(CC(=O)[O-])O","3-hydroxy-4-(trimethylazaniumyl)butanoate","Carnitine","C7H15NO3",161.20,-0.2,1,3
289,"C1=CC=C(C(=C1)O)O","benzene-1,2-diol","Catechol","C6H6O2",110.11,0.900,2,2
290,"C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)O)O)O","[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphono hydrogen phosphate","Cytidine-5-diphosphoricacid","C9H15N3O11P2",403.18,-4.500,6,11
291,"C[N+](C)(C)CCOP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=CC(=NC2=O)N)O)O","2-[[[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxyethyl-trimethylazanium","2-[[[5-(4-Amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxyethyl-trimethylazanium","C14H27N4O11P2+",489.33,-3.900,5,11
292,"C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O","[[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] hydrogen phosphate","[[5-(4-Amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] hydrogen phosphate","C15H25N3O16P2",565.32,-6.500,9,16
293,"C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCCN)O)O","[2-aminoethoxy(hydroxy)phosphoryl] [5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl hydrogen phosphate","[2-Aminoethoxy(hydroxy)phosphoryl] [5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl hydrogen phosphate","C11H20N4O11P2",446.24,-7.200,6,12
294,"C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O","2-(hydroxymethyl)-6-[4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol","Cellobiose","C12H22O11",342.30,-4.7,8,11
295,"C1C2C(C(C(O2)N3C=NC4=C3NC(=NC4=O)N)O)OP(=O)(O1)O","2-amino-9-(2,7-dihydroxy-2-oxo-4a,6,7,7a-tetrahydro-4H-furo[3,2-d][1,3,2]dioxaphosphinin-6-yl)-3H-purin-6-one","","C10H12N5O7P",345.21,-3.4,4,8
296,"CC(C=O)C(=O)O","2-methyl-3-oxopropanoic acid","2-Methyl-3-oxopropanoic acid","C4H6O3",102.09,0.0,1,3
297,"C","methane","Methane","CH4",16.043,0.6,0,0
298,"C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-]","2,2-dichloro-N-[1,3-dihydroxy-1-(4-nitrophenyl)propan-2-yl]acetamide","2,2-dichloro-N-[1,3-dihydroxy-1-(4-nitrophenyl)propan-2-yl]acetamide","C11H12Cl2N2O5",323.13,1.100,3,5
299,"C1(=O)C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl","1,2,3,4,6,7,8,9,10,10-decachloropentacyclo[5.3.0.02,6.03,9.04,8]decan-5-one","Chlordecone","C10Cl10O",490.6,3.9,0,1
300,"C(C(=O)O)Cl","2-chloroacetic acid","Chloroacetic acid","C2H3ClO2",94.50,0.200,1,2
301,"C1=CC(=C(C=C1O)Cl)O","2-chlorobenzene-1,4-diol","Chlorohydroquinone","C6H5ClO2",144.55,1.400,2,2
302,"CC(CCC(=O)O)C1CCC2C1(C(CC3C2C(=O)CC4C3(CCC(C4)O)C)O)C","4-(3,12-dihydroxy-10,13-dimethyl-7-oxo-1,2,3,4,5,6,8,9,11,12,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl)pentanoic acid","4-(3,12-Dihydroxy-10,13-dimethyl-7-oxo-1,2,3,4,5,6,8,9,11,12,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl)pentanoic acid","C24H38O5",406.6,3.3,3,5
303,"CC(CCC(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C","4-(3,7,12-trihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid","Ox bile extract","C24H40O5",408.6,3.6,4,5
304,"CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C","10,13-dimethyl-17-(6-methylheptan-2-yl)-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol","Cholest-5-en-3-ol","C27H46O",386.7,8.700,1,1
305,"C[N+](C)(C)CCO","2-hydroxyethyl(trimethyl)azanium","Choline","C5H14NO+",104.17,-0.4,1,1
306,"C=C(C(=O)O)OC1C=C(C=CC1O)C(=O)O","3-(1-carboxyethenoxy)-4-hydroxycyclohexa-1,5-diene-1-carboxylic acid","3-(1-Carboxyethenoxy)-4-hydroxycyclohexa-1,5-diene-1-carboxylic acid","C10H10O6",226.18,0.2,3,6
307,"C1=CC=C(C=C1)C=CC=O","3-phenylprop-2-enal","3-Phenylprop-2-enal","C9H8O",132.16,1.900,0,1
308,"C1=CC=C(C=C1)C=CCO","3-phenylprop-2-en-1-ol","Styryl carbinol","C9H10O",134.17,1.900,1,1
309,"C(C(=CC(=O)O)C(=O)O)C(=O)O","prop-1-ene-1,2,3-tricarboxylic acid","Aconitic acid","C6H6O6",174.11,-1.0,3,6
310,"C(=CC(=O)O)C=CC(=O)O","hexa-2,4-dienedioic acid","2,4-Hexadienedioic acid","C6H6O4",142.11,0.2,2,4
311,"C(C(=O)O)C(CC(=O)O)(C(=O)O)O","2-hydroxypropane-1,2,3-tricarboxylic acid","Citric acid","C6H8O7",192.12,-1.700,4,7
312,"[Cl-]","chloride","Chloride ion","Cl-",35.45,0.8,0,1
313,"Cl","chlorane","Hydrochloric acid","ClH",36.46,0.8,1,0
314,"C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)O)O)O","[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate","Cytosine arabinoside monophosphate","C9H14N3O8P",323.20,-3.400,5,8
315,"C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OCC(C(C(C(CC(=O)C(=O)O)O)O)O)O)O)O","8-[[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-4,5,6,7-tetrahydroxy-2-oxooctanoic acid","8-[[5-(4-Amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-4,5,6,7-tetrahydroxy-2-oxooctanoic acid","C17H26N3O15P",543.4,-6.000,9,15
316,"CC(=O)NC1C(CC(OC1C(C(CO)O)O)(C(=O)O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=NC3=O)N)O)O)O","5-acetamido-2-[[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-4-hydroxy-6-(1,2,3-trihydroxypropyl)oxane-2-carboxylic acid","5-Acetamido-2-[[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-4-hydroxy-6-(1,2,3-trihydroxypropyl)oxane-2-carboxylic acid","C20H31N4O16P",614.5,-6.7,10,16
317,"CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O","[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [3-hydroxy-2,2-dimethyl-4-oxo-4-[[3-oxo-3-(2-sulfanylethylamino)propyl]amino]butyl] hydrogen phosphate","[[5-(6-Aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [3-hydroxy-2,2-dimethyl-4-oxo-4-[[3-oxo-3-(2-sulfanylethylamino)propyl]amino]butyl] hydrogen phosphate","C21H36N7O16P3S",767.5,-5.800,10,21
318,"CC1C2C(C(C(=N2)CC3=NC(=C(C4=NC(C5C(C(C1=N5)(C)CCC(=O)NCC(C)O)CC(=O)N)(C(C4CCC(=O)N)(C)CC(=O)N)C)C)C(C3CCC(=O)N)(C)CC(=O)N)(C)C)CCC(=O)N.[Co]","cobalt;3-[2,13,18-tris(2-amino-2-oxoethyl)-12,17-bis(3-amino-3-oxopropyl)-3-[3-(2-hydroxypropylamino)-3-oxopropyl]-3,5,8,8,13,15,18,19-octamethyl-1,2,5,6,7,10,12,17-octahydrocorrin-7-yl]propanamide","Cobalt;3-[2,13,18-tris(2-amino-2-oxoethyl)-12,17-bis(3-amino-3-oxopropyl)-3-[3-(2-hydroxypropylamino)-3-oxopropyl]-3,5,8,8,13,15,18,19-octamethyl-1,2,5,6,7,10,12,17-octahydrocorrin-7-yl]propanamide","C48H75CoN11O8",993.1,"",8,12
319,"CC1C2C(C(C(=N2)CC3=NC(=C(C4=NC(C5C(C(C1=N5)(C)CCC(=O)NCC(C)O)CC(=O)N)(C(C4CCC(=O)N)(C)CC(=O)N)C)C)C(C3CCC(=O)N)(C)CC(=O)N)(C)C)CCC(=O)N","3-[2,13,18-tris(2-amino-2-oxoethyl)-12,17-bis(3-amino-3-oxopropyl)-3-[3-(2-hydroxypropylamino)-3-oxopropyl]-3,5,8,8,13,15,18,19-octamethyl-1,2,5,6,7,10,12,17-octahydrocorrin-7-yl]propanamide","3-[2,13,18-Tris(2-amino-2-oxoethyl)-12,17-bis(3-amino-3-oxopropyl)-3-[3-(2-hydroxypropylamino)-3-oxopropyl]-3,5,8,8,13,15,18,19-octamethyl-1,2,5,6,7,10,12,17-octahydrocorrin-7-yl]propanamide","C48H75N11O8",934.2,-4.0,8,12
320,"C1C(C2=C(NC=N1)N(C=N2)C3C(C(C(O3)CO)O)O)O","2-(8-hydroxy-7,8-dihydro-4H-imidazo[4,5-d][1,3]diazepin-3-yl)-5-(hydroxymethyl)oxolane-3,4-diol","3-Pentofuranosyl-3,4,7,8-tetrahydroimidazo[4,5-d][1,3]diazepin-8-ol","C11H16N4O5",284.27,-3.100,5,7
321,"CC1=C2CC3=C(C(=C(N3)CC4=C(C(=C(N4)CC5=C(C(=C(N5)CC(=C1CCC(=O)O)N2)C)CCC(=O)O)C)CCC(=O)O)CCC(=O)O)C","3-[8,12,17-tris(2-carboxyethyl)-3,7,13,18-tetramethyl-5,10,15,20,21,22,23,24-octahydroporphyrin-2-yl]propanoic acid","coproporphyrinogen III","C36H44N4O8",660.8,3.6,8,8
322,"C1=CC(=CC=C1C=CC(=O)O)O","3-(4-hydroxyphenyl)prop-2-enoic acid","2-Propenoic acid, 3-(4-hydroxyphenyl)-","C9H8O3",164.16,1.500,2,3
323,"C1=CC=C2C(=C1)C=CC(=O)O2","chromen-2-one","Coumarin","C9H6O2",146.14,1.400,0,2
324,"CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C=CC4=CC=C(C=C4)O)O","S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-(4-hydroxyphenyl)prop-2-enethioate","S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-(4-hydroxyphenyl)prop-2-enethioate","C30H42N7O18P3S",913.7,-3.9,10,23
325,"CC(C)C1=CC=C(C=C1)CO","(4-propan-2-ylphenyl)methanol","4-Isopropylbenzyl alcohol","C10H14O",150.22,2.300,1,1
326,"CC(C)C1=CC=C(C=C1)C=O","4-propan-2-ylbenzaldehyde","4-Isopropylbenzaldehyde","C10H12O",148.20,2.700,0,1
327,"C1=C(NC2=C1C(=O)C(=C3C2=C(C=C(N3)C(=O)O)C(=O)O)O)C(=O)O","5-hydroxy-4-oxo-1,6-dihydropyrrolo[2,3-f]quinoline-2,7,9-tricarboxylic acid","","C14H8N2O8",332.22,-0.4,6,9
328,"C1=CC(=CC=C1C(C(=O)O)O)O","2-hydroxy-2-(4-hydroxyphenyl)acetic acid","4-Hydroxyphenylglycolic acid","C8H8O4",168.15,0.300,3,4
329,"CSCC(C(C(=O)COP(=O)(O)O)O)O","(3,4-dihydroxy-5-methylsulfanyl-2-oxopentyl) dihydrogen phosphate","(3,4-Dihydroxy-5-methylsulfanyl-2-oxo-pentoxy)phosphonic acid","C6H13O7PS",260.20,-2.4,4,8
330,"CC(C)CCCC(C)C1CCC2C1(CCC3=C2CCC4C3(CCC(C4)O)C)C","10,13-dimethyl-17-(6-methylheptan-2-yl)-2,3,4,5,6,7,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol","10,13-dimethyl-17-(6-methylheptan-2-yl)-2,3,4,5,6,7,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol","C27H46O",386.7,8.0,1,1
331,"CC(CC(CC(=O)O)N)N","3,5-diaminohexanoic acid","Hexanoic acid, 3,5-diamino-","C6H14N2O2",146.19,-3.6,3,4
332,"COC1=C(C=CC(=C1)C=C)O","4-ethenyl-2-methoxyphenol","2-Methoxy-4-vinylphenol","C9H10O2",150.17,2.400,1,2
333,"C(C(C(C(COP(=O)(O)O)O)O)O)NC1=C(C(=O)NC(=O)N1)N","[5-[(5-amino-2,4-dioxo-1H-pyrimidin-6-yl)amino]-2,3,4-trihydroxypentyl] dihydrogen phosphate","5-Amino-6 (5'phosphoribitylamino)uracil","C9H17N4O9P",356.23,-4.300,9,11
334,"CC(C)CCCC(C)C1CCC2C1(CCC3C2C(CC4=CC(=O)CCC34C)O)C","7-hydroxy-10,13-dimethyl-17-(6-methylheptan-2-yl)-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one","7-Hydroxy-10,13-dimethyl-17-(6-methylheptan-2-yl)-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one","C27H44O2",400.6,7.3,1,2
335,"CC1=CC=CC=C1O","2-methylphenol","o-Cresol","C7H8O",108.14,2.000,1,1
336,"C(C(=O)O)(NC(=O)N)O","2-(carbamoylamino)-2-hydroxyacetic acid","Ureidoglycolic Acid","C3H6N2O4",134.09,-2.0,4,4
337,"CC(=O)C(C(CO)O)O","3,4,5-trihydroxypentan-2-one","3,4,5-Trihydroxypentan-2-one","C5H10O4",134.13,-2.0,3,4
338,"C1=CC=C(C(=C1)C(=O)O)O","2-hydroxybenzoic acid","Salicylic acid","C7H6O3",138.12,2.300,2,3
339,"C(CP(=O)(O)O)N","2-aminoethylphosphonic acid","(2-Aminoethyl)phosphonic acid","C2H8NO3P",125.06,-4.8,3,4
340,"CC1=C(C(=CC=C1)O)O","3-methylbenzene-1,2-diol","3-Methylcatechol","C7H8O2",124.14,1.800,2,2
341,"C1=C(C=C(C(=C1O)O)O)C(=O)OC2=CC(=CC(=C2O)O)C(=O)O","3,4-dihydroxy-5-(3,4,5-trihydroxybenzoyl)oxybenzoic acid","Digallic acid","C14H10O9",322.22,1.1,6,9
342,"CC1=CC(=CC=C1)O","3-methylphenol","m-Cresol","C7H8O",108.14,2.000,1,1
343,"C1(C(C(C2C(C1O)OP(=O)(O2)O)O)O)O","2-hydroxy-2-oxo-3a,4,5,6,7,7a-hexahydrobenzo[d][1,3,2]dioxaphosphole-4,5,6,7-tetrol","2-Hydroxy-2-oxo-3a,4,5,6,7,7a-hexahydrobenzo[d][1,3,2]dioxaphosphole-4,5,6,7-tetrol","C6H11O8P",242.12,-3.8,5,8
344,"C1C(C(C(C(=O)C1=O)O)O)O","3,4,5-trihydroxycyclohexane-1,2-dione","3,4,5-Trihydroxycyclohexane-1,2-dione","C6H8O5",160.12,-2.6,3,5
345,"CC(=C(CC(=O)O)C(=O)O)C(=O)O","but-2-ene-1,2,3-tricarboxylic acid","2-Butene-1,2,3-tricarboxylic acid","C7H8O6",188.13,-0.6,3,6
346,"C1=CC(=CC=C1O)OC2C(C(C(C(O2)CO)O)O)O","2-(hydroxymethyl)-6-(4-hydroxyphenoxy)oxane-3,4,5-triol","p-Hydroxyphenyl beta-D-glucopyranoside","C12H16O7",272.25,-0.700,5,7
347,"C1=CC(=CC(=C1)OC2C(C(C(C(O2)CO)O)O)O)CO","2-(hydroxymethyl)-6-[3-(hydroxymethyl)phenoxy]oxane-3,4,5-triol","2-(Hydroxymethyl)-6-[3-(hydroxymethyl)phenoxy]oxane-3,4,5-triol","C13H18O7",286.28,-1.400,5,7
348,"C1=CC(=CC=C1O)OC2C(C(C(C(O2)COP(=O)(O)O)O)O)O","[3,4,5-trihydroxy-6-(4-hydroxyphenoxy)oxan-2-yl]methyl dihydrogen phosphate","[3,4,5-Trihydroxy-6-(4-hydroxyphenoxy)oxan-2-yl]methyl dihydrogen phosphate","C12H17O10P",352.23,-2.400,6,10
349,"C(C1C(C(=O)C(C(O1)O)O)O)O","2,3,5-trihydroxy-6-(hydroxymethyl)oxan-4-one","a 3-Dehydropyranose","C6H10O6",178.14,-2.200,4,6
350,"CC(C(C(=O)O)NC(=O)CCCCCCS)OP(=O)(O)O","3-phosphonooxy-2-(7-sulfanylheptanoylamino)butanoic acid","3-Phosphonooxy-2-(7-sulfanylheptanoylamino)butanoic acid","C11H22NO7PS",343.34,-0.3,5,8
351,"CC(C(C(=O)O)NC(=O)CCCCCCSSCCS(=O)(=O)O)OP(=O)(O)O","3-phosphonooxy-2-[7-(2-sulfoethyldisulfanyl)heptanoylamino]butanoic acid","3-Phosphonooxy-2-[7-(2-sulfoethyldisulfanyl)heptanoylamino]butanoic acid","C13H26NO10PS3",483.5,-1.1,5,12
352,"CC(C(C1=CNC2=C(N1)C(=NC(=N2)N)OC(=O)C(CCC(=O)O)N)OC(=O)C(CCC(=O)O)N)OC(=O)C(CCC(=O)O)N","4-amino-5-[[2-amino-6-[1,2-bis[(2-amino-4-carboxybutanoyl)oxy]propyl]-5,8-dihydropteridin-4-yl]oxy]-5-oxopentanoic acid","4-Amino-5-[[2-amino-6-[1,2-bis[(2-amino-4-carboxybutanoyl)oxy]propyl]-5,8-dihydropteridin-4-yl]oxy]-5-oxopentanoic acid","C24H34N8O12",626.6,-9.9,9,20
353,"CC(C(C1=CNC2=C(N1C)C(=NC(=N2)N)OC(=O)C(CCC(=O)O)N)OC(=O)C(CCC(=O)O)N)OC(=O)C(CCC(=O)O)N","4-amino-5-[[2-amino-6-[1,2-bis[(2-amino-4-carboxybutanoyl)oxy]propyl]-5-methyl-8H-pteridin-4-yl]oxy]-5-oxopentanoic acid","4-amino-5-[[2-amino-6-[1,2-bis[(2-amino-4-carboxybutanoyl)oxy]propyl]-5-methyl-8H-pteridin-4-yl]oxy]-5-oxopentanoic acid","C25H36N8O12",640.6,-9.9,8,20
354,"C(CC(=O)O)C=CC(=O)C(=O)O","2-oxohept-3-enedioic acid","2-Oxohept-3-enedioic acid","C7H8O5",172.13,-0.1,2,5
355,"C1=CC(=CC=C1C(=O)C(=O)O)O","2-(4-hydroxyphenyl)-2-oxoacetic acid","4-Hydroxyphenylglyoxylic acid","C8H6O4",166.13,1.0,2,4
356,"CCCCCCCC","octane","Octane","C8H18",114.23,3.900,0,0
357,"C1=C(C(C=C(C1Cl)Cl)Cl)Cl","1,3,4,6-tetrachlorocyclohexa-1,4-diene","1,3,4,6-Tetrachloro-1,4-cyclohexadiene","C6H4Cl4",217.9,3.2,0,0
358,"CC(CC(=O)CC(=O)O)N","5-amino-3-oxohexanoic acid","5-Amino-3-oxohexanoic acid","C6H11NO3",145.16,-3.2,2,4
359,"C1=C(C=C(C=C1O)O)O","benzene-1,3,5-triol","Phloroglucinol","C6H6O3",126.11,0.200,3,3
