"Source Name","Live Substance Count","On-Hold Substance Count","Source Category","Source URL","DSN","Organization","Contact Full Name","Address","City","State","Postcode","Country","Last Update"
"Biopurify Phytochemicals",1127,"","Chemical Vendors","https://www.phytopurify.com/",24231,"Biopurify Phytochemicals","Vivian Jiang","2F,No.11 Building,No.388 Rongtaidadao CNSTP,Wenjiang Zone","Chengdu","Sichuan",611130,"China","2020/10/19"
"Biosynth Carbosynth",104122,"","Chemical Vendors","https://www.carbosynth.com/","Biosynth","Biosynth AG","Edina Filotas","Rietlistrasse 4","Staad","St. Gallen",9422,"Switzerland","2022/01/04"
"BLD Pharm",884729,"","Chemical Vendors","https://www.bldpharm.com/",22134,"BLD Pharmatech Ltd.","pharm BLD","No.1 Wangdong Middle Road, Building 5, Songjiang District","Shanghai","Shanghai",201601,"China","2021/05/04"
"BOC Sciences",189341,"","Chemical Vendors","https://www.bocsci.com/",4398,"BOC Sciences","Linna Green","","New York","New York",11967,"United States","2021/09/06"
"Boerchem",10113,"","Chemical Vendors, Legacy Depositors","http://www.boerchem.com",4415,"Boerchem Pharmtech Co., Ltd","William Chen","2F, No.13-1,Liansheng Road, Yuhang District","Hangzhou City","ZheJiang",310023,"China","2016/07/15"
"Boone Lab, Chemical Genomics, University of Toronto",1521,"","Research and Development","http://sites.utoronto.ca/boonelab/",15567,"University of Toronto Donnelly Centre","Jeff Piotrowski","160 College St","Toronto","ON","M5S 3E1","Canada","2017/06/29"
"Boroncore",4876,"","Chemical Vendors","http://www.boroncore.com",968,"Boroncore LLC ","zhu shuaijun","No.4028 Nanhuan RD","Hangzhou","China ",310053,"China","2015/11/09"
"Boronpharm",3841,"","Chemical Vendors","https://www.boronpharm.com",23697,"Boronpharm Co., Ltd","George Ku","No.4028 Nanhuan RD","Hangzhou","Zhejiang",310053,"China","2019/09/13"
"Bradner/Qi Labs at DFCI",65741,"","NIH Initiatives","https://qilab.dana-farber.org/",15290,"Dana Farber Cancer Institute","Jun Qi","450 Brookline Ave","Boston","MA",02115,"United States","2016/10/28"
"Brenntag Connect",3,"","Chemical Vendors","https://brenntagconnect.com",23771,"Digital Brenntag","Xijia Hu","Johan Huizingalaan 400","Amsterdam","North Holland","1066JS","Netherlands","2019/11/04"
"Bright Pigments, Inc",2,"","Chemical Vendors, Legacy Depositors","http://www.brightpigments.com",17800,"Bright Pigments, Inc","Yiming Hu","1035 S Milliken Ave, Suite F","Ontario","CA",91761,"United States","2017/10/27"
"Broad Institute",211534,"","NIH Initiatives","https://www.broadinstitute.org/","Broad Institute","The Broad Institute of MIT and Harvard","Karen Emmith","7 Cambridge Center","Cambridge","MA",02134,"United States","2018/11/29"
"BroadPharm",8584,"","Chemical Vendors","https://www.broadpharm.com",869,"Broadpharm","Jun Yang","9380 Waples Street. Suite. 101","San Diego","CA",92121,"United States","2021/09/20"
"Bu Lab, School of Pharmaceutical Sciences, Sun Yat-Sen University",7,"","Legacy Depositors, Research and Development","http://sps.sysu.edu.cn",1293,"Sun Yat-Sen University","Xianzhang Bu","School of Pharmaceutical Sciences","Guangzhou","Guangdong",510006,"China","2014/02/11"
"Buhrlage Lab, Dana-Farber Cancer Institute and Novartis Institutes for BioMedical Research (Cambridge, Mass)",47480,"","Research and Development","https://buhrlagelab.dana-farber.org/",24642,"Dana-Farber Cancer Institute","Anthony Varca","360 Longwood Avenue, LC-3101","Boston","MA",02215,"United States","2021/06/30"
"Burnham Center for Chemical Genomics",69110,"","NIH Initiatives","https://www.sbpdiscovery.org/","Burnham Center for Chemical Genomics","Sanford-Burnham Medical Research Institute","Paul Kung","10901 Torrey Pines Road","La Jolla","CA",92037,"United States","2021/12/11"
"C. David Weaver Laboratory, Vanderbilt University",96718,"","Research and Development","https://lab.vanderbilt.edu/weaver-lab/",15621,"Vanderbilt University","Krystian Kozek","2220 Pierce Ave, Room 459 Preston Research Building","Nashville","TN",37232,"United States","2017/06/12"
"Calbiochem",1631,"","Chemical Vendors, Legacy Depositors","http://www.emdmillipore.com","Calbiochem","EMD Chemicals","Venkat Bhat","10394 Pacific Center Ct","San Diego","CA",92121,"United States","2009/06/24"
"California Peptide Research, Inc.",5,"","Chemical Vendors","http://californiapeptide.com/",22094,"Echelon Biosciences, Inc.","Liuyin Zhang","675 Arapeen Dr. Ste. 302","Salt Lake City","UT",84108,"United States","2018/06/18"
"Cancer Functional Genomics, Wellcome Trust Sanger Institute",794,"","Research and Development","https://www.sanger.ac.uk/",15471,"Wellcome Trust Sanger Institute","Steven Williams","Wellcome Trust Genome Campus","Cambridge","","","United Kingdom","2017/03/31"
"Cancer Research UK Cambridge Research Institute",332,"","Legacy Depositors, Research and Development","https://crukcambridgecentre.org.uk/",867,"CRUK CRI","Klaas Mulder","Robinson way","Cambridge","Cambridgeshire","CB2 0RE","United Kingdom","2012/06/21"
"Cangzhou Enke Pharma Tech Co.,Ltd.",4645,"","Chemical Vendors","http://www.enkepharma.com/indexe.php",20920,"Cangzhou Enke Pharma Tech Co.,Ltd.","Tina Qi","40# Shuiyuesi Street","Cangzhou City","Hebei Province",061000,"China","2021/12/16"
"CAPOT",43642,"","Chemical Vendors, Legacy Depositors","https://www.capotchem.com/",925,"Capot Chemical Co., Ltd.","Jason Jing","B/101, Building 5, Joinhands Sci Park No.4028 Nanhuan RD","Hangzhou","Zhejiang",310053,"China","2012/11/20"
"Carbott PharmTech Inc.",935,"","Chemical Vendors","http://www.carbottpharm.com/index.php?langid=en",15423,"Carbott Pharm Tech Inc.","Estella Wu","3-11, Kaifeng Road","Yantai","Shandong",264006,"China","2017/04/27"
"Cayman Chemical",7,"","Chemical Vendors, Legacy Depositors","https://www.caymanchem.com/",843,"Cayman Chemical","Meghan Miller","1180 E. Ellsworth","Ann Arbor","MI",48108,"United States","2012/02/14"
"CC_PMLSC",395,"","Legacy Depositors, Research and Development","http://ccc.chem.pitt.edu/","CC_PMLSC","University of Pittsburgh Chemistry","Peter Wipf","University Drive","Pittsburgh","PA",15260,"United States","2007/11/12"
"CCSbase",14008,"","Curation Efforts","https://ccsbase.net/",24290,"University of Washington","Libin Xu","1959 NE Pacific Street, Health Sciences Bldg., H-172, Box 357610","Seattle","WA",98195-7610,"United States","2020/08/26"
"CEGChem",11854,"","Chemical Vendors","http://www.cegchemical.com/",1155,"CEG Chemical Science & Technology Co., Ltd.","Chen Luo","Room.1713, No.600 Xingyuan Road, Beitang District","Wuxi","Jiangsu",214000,"China","2015/05/25"
"Center for Chemical Genomics, University of Michigan",263229,"","Research and Development","https://www.lsi.umich.edu/science/centers-technologies/center-chemical-genomics","Center for Chemical Genomics, University of Michigan","University of Michigan","Renju Jacob","210 Washtenaw Ave","Ann Arbor","MI",48104,"United States","2020/05/16"
"Center for Natural Product Technologies at UIC (CENAPT)",15,"","Research and Development","https://cenapt.pharm.uic.edu/",17799,"CENAPT at UIC, College of Pharmacy","Charlotte Simmler","833 South Wood Street, Bldg 924","Chicago","Illinois",60612,"United States","2019/05/15"
"CF Plus Chemicals",8,"","Chemical Vendors","https://www.cfplus.cz/",23323,"CF Plus Chemicals s.r.o.","Vaclav Matousek","Karasek 1767/1","Brno - Reckovice","Czech Republic",62100,"Czech Republic","2019/01/07"
"ChangChem",17211,"","Chemical Vendors, Legacy Depositors","http://www.changchem.com",10617,"ChangChem","Zhang Bo","Nantong","Nantong","Jiangsu",226006,"China","2015/04/01"
"Changzhou Highassay Chemical Co., Ltd",3348,"","Chemical Vendors","http://www.highassay.com/profile/aboutus.html",13120,"Changzhou Highassay Chemical Co., Ltd","Ms summer","NO. 23 Lijiang Rd, Xixiashu Town,  Xinbei District","Changzhou","Jiangsu",213000,"China","2016/05/09"
"Changzhou Naide Chemical",129,"","Chemical Vendors","https://www.naphfinechemicals.com/",17790,"Changzhou Naide Chemical Co.,Ltd","Shirley Sun","No.518, Jincheng South Road, Jintan District","Changzhou","Jiangsu",213200,"China","2021/05/31"
"ChEBI",146757,"","Curation Efforts, Research and Development","https://www.ebi.ac.uk/chebi/","ChEBI","European Bioinformatics Institute","ChEBI Developers","Genome Campus","Hinxton","Cambridgeshire","CB10 1SD","United Kingdom","2022/02/02"
"Chem-Impex International, Inc.",1,"","Chemical Vendors","http://www.chemimpex.com/",23750,"Chem-Impex International, Inc.","Patrick Mehta","935 Dillon Drive","Wood Dale","IL",60191,"United States","2019/11/12"
"Chem-Space.com Database",4010651,"","Chemical Vendors","https://chem-space.com",15294,"Chemspace","Anton Iershov","Ilukstes iela 38-5","Riga","","LV-1082","Latvia","2020/11/24"
"Chemaphor Chemical Services",8,"","Chemical Vendors","http://chemaphor.com/",11903,"Chemaphor Chemical Services","Lauren Elliott","100 Sussex Drive","Ottaw","Ontario","K1A 0R6","Canada","2015/12/01"
"ChemBank",1607755,"","Research and Development","https://data.broadinstitute.org/chembank/","ChemBank","Broad Institute of Harvard & MIT/Chemical Biology Program","Paul Clemons","7 Cambridge Center, Room 3018","Cambridge","MA",02142,"United States","2015/06/22"
"Chembase.cn",299985,"","Chemical Vendors, Legacy Depositors","http://www.chembase.cn",1052,"Shanghai Zhihua ChemTech Inc","Xiaojun Ji","Floor 3 Suite A 3333 Shenjiang Road","Shanghai","Shanghai",200232,"China","2014/06/04"
"ChemBioBank",2345,"","Chemical Vendors, Legacy Depositors","http://www.chembiobank.com",22146,"SINO High Goal Chemical Technology ltd","Emmanuel Zhu","Building 3, No.3279 of Sanlu road, Pujiang town, Minhang district","Shanghai","Shanghai",201112,"China","2018/08/24"
"ChEMBL",2105464,"","Curation Efforts, Research and Development","https://www.ebi.ac.uk/chembl/","ChEMBL","European Bioinformatics Institute (EMBL-EBI)","Anna Gaulton","EMBL Outstation","Hinxton","Cambridge","CB10 1SD","United Kingdom","2021/07/27"
"ChemBlock",107570,"","Chemical Vendors, Legacy Depositors","http://www.chemblock.com","ChemBlock","Chemical Block Ltd.","Victor  Semenov","Leninsky Pr.40-144","Moscow","Moskvoskaya Obl.",119334,"Russia","2006/01/17"
"ChemBridge",1705296,"","Chemical Vendors","https://www.chembridge.com/","ChemBridge","ChemBridge Corporation","Olga Guy","11199 Sorrento Valley Road, Suite 206","San Diego","CA",92121,"United States","2021/11/29"
"Chemchart",49,"","Chemical Vendors","http://chemchart.com",22093,"ToxTrack, Inc","Thomas Bozada","2736 Quarry Heights Way","Baltimore","MD",21209,"United States","2018/07/17"
"ChemDB",3564938,"","Legacy Depositors, Research and Development","http://cdb.ics.uci.edu/","ChemDB","University of California, Irvine (UCI)","Pierre Baldi","School of Information and Computer Sciences, Office 424C","Irvine","CA",92612,"United States","2005/10/07"
"ChemDiv",1461581,"","Chemical Vendors","https://www.chemdiv.com/",15437,"ChemDiv Inc.","Anna Kosterina","6605 Nancy Ridge Drive","San Diego","CA",92121,"United States","2017/12/18"
"Chemenu Inc.",336587,"","Chemical Vendors","https://www.chemenu.com/",20931,"Chemenu. Inc.","Kelly Ma","3399 Kangxin Highway","Shanghai","Shanghai",201321,"China","2021/12/15"
"ChemExper Chemical Directory",156258,"","Chemical Vendors, Legacy Depositors","http://www.chemexper.com/","ChemExper Chemical Directory","ChemExper sprl","Luc Patiny","36, clos de Profondval","Court-st-Etienne","",1490,"Belgium","2005/07/19"
"ChemFaces",7592,"","Chemical Vendors","http://www.chemfaces.com",11960,"Wuhan ChemFaces Biochemical CO.,Ltd.","Kevin Lee","S5-3 Building, No. 111, Dongfeng Rd.,  Wuhan Economic and Technological Development Zone","Wuhan","Hubei",430056,"China","2018/08/28"
"ChemFish Tokyo co.,ltd",7444,"","Chemical Vendors","http://en.chemfish.co.jp/",20870,"ChemFish Tokyo co.,ltd","Itou Youko","Chuanyan Road","Tokyo","1-23-28,Jingumae,shi",410205,"Japan","2022/01/26"
"Chemhere",490990,"","Chemical Vendors","http://www.chemhere.com",10628,"Shanghai chemhere co., Ltd","Cherry Lee","Unit602,No.14,Ziwei Rd, Zhangjiang High-tech Park","Shanghai","Shanghai",210000,"China","2016/06/20"
"Chemical Biology Department, Max Planck Institute of Molecular Physiology",107,"","Legacy Depositors, Research and Development","https://www.mpi-dortmund.mpg.de/en","Chemical Biology Department, Max Planck Institute of Molecular Physiology","Max Planck Institute of Molecular Physiology","Prof. Dr. Herbert Waldmann","Otto-Hahn-Strasse 11","Dortmund","Northrhine Westphali",44227,"Germany","2009/04/16"
"Chemical Carcinogenesis Research Information System (CCRIS)",9562,"","Governmental Organizations, Legacy Depositors","https://toxnet.nlm.nih.gov/newtoxnet/ccris.htm",22070,"National Library of Medicine","CCRIS Staff","8600 Rockville Pike","Bethesda","MD",20894,"United States","2018/05/14"
"chemical genetic matrix",14584,"","Research and Development","http://chemgrid.org/cgm/",11924,"Institute for Research in Immunology and Cancer","Jan Wildenhain","2950 Chemin de Polytechnique, Marcelle-Coutu Pavilion","Montreal","QC","H3C 3J7","Canada","2016/02/21"
"Chemical Probes Portal",451,"","Curation Efforts","https://www.chemicalprobes.org/",15584,"The Chemical Probes Portal","Amy Donner","351 Engamore Lane Apt. 204","Norwood","MA",02062,"United States","2021/02/12"
"Chemical Synthesis Database",40366,"","Legacy Depositors, Research and Development","https://www.chemsynthesis.com/","ChemSynthesis","Chemical Synthesis Database","Sergey Mantrov","Vilisa Lacisa 27/2, 42","Moscow","Moscow",125480,"Russia","2011/11/17"
"ChemIDplus",439025,"","Curation Efforts, Governmental Organizations, Research and Development","https://chem.nlm.nih.gov/chemidplus/","ChemIDplus","National Library of Medicine","Ying Sun","8600 Rockville Pike","Bethesda","MD",20894,"United States","2022/02/03"
"Chemieliva Pharmaceutical Co., Ltd",1492202,"","Chemical Vendors, Legacy Depositors","http://www.chemieliva.com",15494,"Chemieliva Pharmaceutical Co., Ltd","Andy Huang","Office 1303 Building 8, QiXia Road NO.16, New North Zone || sales@chemieliva.com","Chongqing","Chongqing",401122,"China","2017/12/18"
"ChemieTek",164,"","Chemical Vendors","https://www.chemietek.com/",11843,"ChemieTek","Nancy Wei","7301 E. 90th Street, Suite 117","Indianapolis","Indiana",46256,"United States","2017/05/26"
"ChemMol",302003,"","Chemical Vendors, Legacy Depositors","http://chemmol.com/",814,"ChemMol","Chang Dong","912 CONSTELLATION DR","GREAT FALLS","VA",22066,"United States","2016/12/07"
"Chemodex Ltd.",943,"","Chemical Vendors","https://www.chemodex.com/",15304,"Chemodex Ltd.","Martin Klester","Lindenstrasse 77","St. Gallen","SG",9000,"Switzerland","2020/03/07"
"Chemoproteomic Metabolic Pathway Resource, Scripps University",12,"","Curation Efforts","https://rc2resource.scripps.edu/",20930,"The Scripps Research Institute","Kenneth Lum","10550 North Torrey Pines Road","La Jolla","California",92037,"United States","2018/02/01"
"Chemotion",2626,"","Research and Development","https://chemotion.net/",1195,"KIT","Nicole Jung","Hermann von Helmholtz Platz 1","Eggenstein Leopoldshafen","BW",76344,"Germany","2022/01/22"
"ChemProbes",64,"","Chemical Vendors, Legacy Depositors","http://www.chemprobes.com",22092,"ChemProbes, stock solutions in DMSO","Veronique Dery","130 Villandry Place","Vaudreuil-Dorion","Quebec","J7V 9X7","Canada","2018/11/11"
"ChemShuttle",89313,"","Chemical Vendors","https://www.chemshuttle.com/",1261,"ChemShuttle","Yanhua Ming","3916 Trust Way","Hayward","CA",94545,"United States","2022/01/25"
"Chemsoon",129,"","Chemical Vendors, Legacy Depositors","http://www.chemsoon.com",4514,"Chemsoon Co., Ltd.","Jin Lian","Floor 2,  Building 17 Yi, 528#,  Ruiqing Road, Shanghai, PR China","Shanghai","Shanghai",201201,"China","2015/07/08"
"ChemSpider",14642781,"","Legacy Depositors, Research and Development","http://www.chemspider.com/","ChemSpider","Royal Society of Chemistry","David Sharpe","Thomas Graham House, Science Park, Milton Road","Cambridge","Cambridgeshire","CB4 0WF","United Kingdom","2011/10/24"
"ChemTik",905802,"","Chemical Vendors, Legacy Depositors","http://www.chemtik.com",1096,"Chemtik","Dario Reid","Stresemannstrasse 79","Berlin","Berlin, Germany",10963,"Germany","2013/05/24"
"ChemWise",128,"","Chemical Vendors, Legacy Depositors","http://www.chemwisellc.com",11909,"ChemWise, LLC","Sebastian Ewen","2522 Chambers Rd, Ste 100","Tustin","CA",92780,"United States","2016/01/27"
"Chen Lab, School of Medicine, Emory University",2012,"","Research and Development","https://med.emory.edu/departments/hematology-medical-oncology/index.html",11827,"Emory University","JING CHEN","1365 Clifton Rd NE","Atlanta","GA",30322,"United States","2015/09/21"
"CHESS fine organics",923,"","Chemical Vendors","https://www.chess-chem.com/",23587,"CHESS GmbH","Juergen Sprinz","Max-Planck-Str. 1","Mannheim","",68169,"Germany","2019/07/17"
"China MainChem Co., Ltd",444,"","Chemical Vendors","https://www.mainchem.com/",20952,"MainChem Co., Ltd","Binson Lou","NO 407 Yuemei Road","XiaMen","Fujian",361022,"China","2019/03/30"
"Chiralblock Biosciences",2071,"","Chemical Vendors","http://www.chiralblock.com/",967,"Chiralblock Bioscience LLC.","bao yan","No.4028,Nanhuan Road , ","Hangzhou","P.R.China ",310053,"China","2016/01/12"
"Chiron AS",1,"","Chemical Vendors","http://www.chiron.no/en/",23613,"Chiron AS","Jenny Button","Stiklestadveien 1","Trondheim","Trondelag",7041,"Norway","2019/07/17"
"Chris Southan",64,"","Curation Efforts","https://www.ed.ac.uk/medicine-vet-medicine",936,"Deanery of Biomedical Sciences, University of Edinburgh","Christopher Southan","Vallhamnsgatan","Goteborg","Vastra Gotland",42166,"Sweden","2022/01/11"
"Chung Lab, Department of Pediatrics, Emory University",2000,"","Research and Development","http://directory.service.emory.edu/?eodentry=P6768264",15218,"Emory University","Wook Joon Chung","1760 Haygood Drive, Suite E-294","Atlanta","Georgia",35233,"United States","2016/08/26"
"Circadian Research, Kay Laboratory, University of California at San Diego (UCSD)",1281,"","Legacy Depositors, Research and Development","https://ccb.ucsd.edu/","Circadian Research, Kay Laboratory, University of California at San Diego (UCSD)","Cell and Developmental Biology, Division of Biological Sciences, University of California San Diego","Steve Kay","9500 Gilman Drive","La Jolla","CA",92093,"United States","2011/10/21"
"Ciulli Lab, Division of Biological Chemistry and Drug Discovery, University of Dundee",2,"","Research and Development","http://www.lifesci.dundee.ac.uk/groups/alessio-ciulli/",15358,"Division of Biological Chemistry and Drug Discovery, University of Dundee","Alessio Ciulli","Dow Street","Dundee","","DD1 5EH","United Kingdom","2017/01/10"
"Clearsynth",92887,"","Chemical Vendors","https://www.clearsynth.com/en/",10614,"CLEARSYNTH CANADA INC.","shermishtha s","118 Queen Street, W","Brampton","Ontario","L6X 1A4","Canada","2019/11/30"
"CLRI (CSIR)",5,"","Legacy Depositors, Research and Development","http://www.clri.org","CLRI (CSIR)","Central Leather Research Institute","A Gnanamani","Adyar","Chennai","Tamil Nadu",600020,"India","2011/08/01"
"CMLD-BU",1629,"","Legacy Depositors, Research and Development","https://www.bu.edu/chemistry/faculty/schaus/","CMLD-BU","Boston University","Scott Schaus","590 Commonwealth Avenue","Boston","MA",02215,"United States","2006/10/09"
"Collaborative Drug Discovery, Inc.",1431760,"","Subscription Services","https://www.collaborativedrug.com",853,"Collaborative Drug Discovery, Inc.","Krishna Dole","1633 Bayshore Hwy, Ste 342","Burlingame","CA",94010,"United States","2017/05/20"
"Columbia University Molecular Screening Center",399,"","Legacy Depositors, NIH Initiatives","http://ycmd.yale.edu/","Columbia University Molecular Screening Center","Columbia University","Lars Branden","1150 St.Nicholas Avenue, Russ Berrie Med.Sci.Pav. 5th floor","New York","NY",10032,"United States","2008/03/04"
"Combi-Blocks",143424,"","Chemical Vendors","http://www.combi-blocks.com",22090,"Combi-Blocks, Inc.","Indy Wu","7949 SILVERTON AVE SUITE 915","San Diego","CA",92126,"United States","2018/05/30"
"Comparative Toxicogenomics Database (CTD)",17527,"","Curation Efforts, Research and Development","http://ctdbase.org/","Comparative Toxicogenomics Database","MDI Biological Laboratory","Thomas Wiegers","PO Box 35, Old Bar Harbor Road","Salisbury Cove","ME",04672,"United States","2022/01/12"
"Compass Remediation Chemicals",4,"","Chemical Vendors","https://compassremediation.com/",20921,"Compass Remediation Chemicals","Robyn Capella","2028 East Ben White Blvd #240-1974","Austin","TX",78741,"United States","2018/01/19"
"CoreSyn",4106,"","Chemical Vendors","http://www.coresyn.com/",11977,"coresyn","core syn","Joinhands Sci Park No.4028 Nanhuan RD","Hangzhou","zhejiang",310053,"China","2016/03/18"
"Corson Lab, School of Medicine, Indiana University",20231,"","Research and Development","https://medicine.iu.edu/faculty-labs/corson",24913,"IUSM-Ophthalmology","Kamakshi Sishtla","1160 W. Michigan St","Indianapolis","IN",46202,"United States","2021/09/29"
"Cosutin Industrial",11,"","Chemical Vendors","https://www.cosutin.com",24085,"Cosutin Industrial Co., Limited","Ryan Cao","UNIT B, 10/F LEE MAY BUILDING 788-790 NATHAN ROAD, MONGKOK, KOWLOON","Hong Kong","Hong Kong",000000,"Hong Kong","2020/04/28"
"Creasyn Finechem",494,"","Chemical Vendors, Legacy Depositors","http://www.creasyn.com","Creasyn Finechem","Creasyn Finechem(Tianjin) Co., Ltd.","Jennifer Liu","Tianjin Hi-tech Industrial Pa","Tianjin","Tianjin",300384,"China","2021/12/13"
"Creative Biogene",1254,"","siRNA Reagent Vendors","https://www.creative-biogene.com/",15270,"Creative Biogene","Wendy Wilson","45-1 Ramsey Road","New York","New York",11967,"United States","2017/11/29"
"Creative Biolabs",2326,"","Research and Development","https://www.creative-biolabs.com/adc/",15267,"Creative Biolabs","Bella Smith","","","New York","","United States","2021/06/10"
"Creative Enzymes",12575,"","Chemical Vendors","https://www.creative-enzymes.com/",15372,"Creative Enzymes","Lisa Clara","Shirley","Shirley","New York",11967,"United States","2021/05/28"
"Creative Proteomics",17101,"","Chemical Vendors","https://www.creative-proteomics.com/",24129,"Creative Proteomics","Melissa George","45-1 Ramsey Road","New York","New York",11967,"United States","2021/06/28"
"CreativePeptides",5574,"","Research and Development","https://www.creative-peptides.com/",13109,"Creative Peptides","Caroline Miller","","Shirley","NY",11967,"United States","2021/10/14"
"Crooks Lab, College of Pharmacy, University of Arkansas for Medical Sciences",3,"","Research and Development","https://pharmacy.uams.edu/aboutus/contact-us/directory/peter-crooks/",23274,"University of Arkansas For Medical Sciences","Narsimha Penthala","4301 W Markham St.","Little Rock","Arkansas",72205,"United States","2018/11/19"
"Crystallography Open Database",203088,"","Research and Development","https://www.crystallography.net/cod/",849,"Vilnius University Institute of Biotechnology","Saulius Grazulis","Sauletekio al. 7","Vilnius","","LT-10257","Lithuania","2021/05/17"
"CSNpharm",8064,"","Chemical Vendors","https://www.csnpharm.com/",23438,"CSNpharm","Eva Waston","3205 N Wilke Rd, Suite 125","Arlington Heights","IL",60004,"United States","2021/08/30"
"Cure First",2685,"","Legacy Depositors, Research and Development","http://curefirst.org/",24139,"Cure First","Reid Shaw","401 Terry Ave N.","Seattle","WA",98109,"United States","2020/06/10"
"cyandye llc",31,"","Chemical Vendors, Legacy Depositors","http://www.cyandye.us",1204,"Cyandye, LLC","VITALY KRAVCHENKO","18401 COLLINS AVE STE 100-241","SUNNY ISLES BEACH","FLORIDA",33160,"United States","2016/07/08"
"CYH Pharma",21,"","Chemical Vendors","http://www.changyuhe.com/",23958,"Shanghai changyuhe pharmaceutical technology co., LTD","Sean Lu","NO.9,Weidi Road,Xianlin University,Qixia District","Nanjing","Jiangsu Province","","China","2021/07/30"
"Dao Fu Chemical",11,"","Chemical Vendors, Legacy Depositors","http://www.daofuchem.com/template/about-e.htm",17804,"Tianjin Daofu Chemical","Peter Chen","Room 305 Bioassay Floor, Nankai University","Tianjin","Tianjin",300071,"China","2017/10/30"
"DAOGE BIOPHARMA",4662,"","Chemical Vendors","https://www.daogechem.com/",24698,"Nanjing Daoge BIOPHARMA CO., LTD.","Jiang Feng","88 Jiangmiao Road","Nanjing","jiangsu",210000,"China","2021/07/30"
"Davey Lab, Department of Microbiology, NEIDL, Boston University",6708,"","Research and Development","https://www.bumc.bu.edu/microbiology/people/faculty/robert-davey-ph-d/",24716,"Boston University","Robert Davey","620 Albany St","Boston","MA",02118,"United States","2021/05/03"
"Day Biochem",58194,"","Chemical Vendors, Legacy Depositors","http://www.daybiochem.com",10627,"Daybiochem","Hu Peng","Room 501, Unit 38-2 ,Shuimuqinghua,Triangle Lake Rd, Economic and Technological Development Zone","Wuhan","Zhuankou",430056,"China","2015/03/31"
"DC Chemicals",15566,"","Chemical Vendors","http://www.dcchemicals.com",15739,"DC Chemicals","Tony Lai","JINXIANG RD 201 BUILDING 15","Pudong","Shanghai",200129,"China","2022/01/25"
"Debye Scientific Co., Ltd",184322,"","Chemical Vendors","https://www.debyesci.com/",4427,"Debye Scientific Co., Ltd","Mike Tu","11F, Lippo Centre Tower 1, 89 Queensway","Hong Kong","Hong Kong",99907,"Hong Kong","2021/03/14"
"Denison Lab, Department of Environmental Toxicology, UC Davis",1,"","Research and Development","https://www.ucdavis.edu/",10597,"University of California, Davis","Jennifer Brennan","One Shields Avenue","Davis","CA",95616,"United States","2015/02/11"
"Department of drug chemistry, Lithuanian University of Health Sciences",24,"","Legacy Depositors, Research and Development","",10696,"Lithuaniain University of Health Sciences","Karolis Bernotavichius","Eiveniu g. 4","Kaunas","Kauno apskritis",50103,"Lithuania","2015/05/18"
"Department of Molecular Cell Biology, Weizmann Institute of Science",85,"","Legacy Depositors, Research and Development","http://www.weizmann.ac.il/mcb/",808,"Weizmann Institute of Science","Alexandra Lichtenstein","P.O.B. 26","Rehovot","IL",76100,"Israel","2011/10/30"
"Department of Pharmacy, LMU",3,"","Legacy Depositors, Research and Development","https://www.cup.uni-muenchen.de/",782,"Ludwig-Maximilians-University (LMU) Munich","Kilian Huber","Butenandtstr. 5-13","Munich","Bavaria","D-81377","Germany","2012/07/05"
"DerMardirossian Lab, San Diego Biomedical Research Institute",6,"","Research and Development","https://sdbri.org/",24885,"San Diego Biomedical Research Institute","Celine DerMardirossian","10865 Road to the Cure, Suite 100","San Diego","CA",92121,"United States","2021/08/18"
"Dharmacon, a Horizon Discovery Group company",1901537,"","siRNA Reagent Vendors","https://horizondiscovery.com/products/custom-synthesis/custom-rna-synthesis","Thermo Scientific Dharmacon RNAi Technologies","GE Healthcare Dharmacon","Shawn McClelland","2650 Crescent Dr suite 100","Lafayette","CO",80026,"United States","2015/06/27"
"Diabetic Complications Screening",1040,"","Legacy Depositors, Research and Development","https://www.niddk.nih.gov/research-funding/research-programs/diabetes-treatment-prevention-complications","Diabetic Complications Screening","NIDDK/JDRF","Teresa Jones","6707 Democracy Blvd. #6075","Bethesda","MD",20892,"United States","2006/08/02"
"DiRusso Lab, Biochemistry Department, University of Nebraska",43720,"","Research and Development","https://biochem.unl.edu/concetta-c-dirusso",11812,"University of Nebraska-Lincoln","Nishikant Wase","1901 Vine St. Beadle Center","Lincoln","NE",68503,"United States","2015/09/01"
"DiscoveryGate",11399046,"","Legacy Depositors, Subscription Services","https://www.discoverygate.com/dg3/","DiscoveryGate","Accelrys","Bryan Host","2440 Camino Ramon, Suite 300","San Ramon","CA",94583,"United States","2011/05/05"
"Domainex",1,"","Research and Development","https://www.domainex.co.uk/",23423,"Domainex","Gary Newton","Chesterford Research Park","Little Chesterford","Essex","CB101XL","United Kingdom","2019/03/05"
"Dong Lab, School of Life Science and Biotechnology, Dalian University of Technology",1,"","Chemical Vendors, Legacy Depositors","http://faculty.dlut.edu.cn/2006011150/en/index.htm",20941,"Dalian University of Technology","Yuesheng Dong","No 2 Linggong Road","Dalian","Liaoning",116024,"China","2018/02/13"
"Drosophila RNAi Screening Center (DRSC)",39459,"","Research and Development","https://fgr.hms.harvard.edu/","Drosophila RNAi Screening Center (DRSC)","Drosophila RNAi Screening Center","Ian Flockhart","77 Avenue Louis Pasteur","Boston","MA",02115,"United States","2015/05/27"
